v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v99,v100,v101,v102,v103,v104,v105,v106,v107,v115,v116,v117,v118,v120,v121,v122,v123,v125,v126,v127,v128,v129,v130,Alder,alderinterval,recodetalder
5,2,11,4,4,1,3,5,2,1,1,2,2,2,5,5,5,5,1,1,5,1,5,1,5,1,3,5,1,3,4,4,5,0,10,5,2,4,4,4,3,4,2,4,1,4,2,4,4,1,2,1,2,1,1,1,7,7,1,3,7,7,1,4,4,5,3,8,7,10,1,1966,5,1,11,4,11,3,3,1,4,11,9,2,11,45,2,4,2,10001,5,5,7,11,1,32,3,1,6,4,3,3,1,3,2,101,5,7,36,3,2
1,3,5,5,3,1,5,5,5,5,1,2,2,2,5,5,1,5,1,1,2,1,5,1,4,1,3,5,1,4,4,4,2,7,20,3,5,4,4,4,2,5,2,2,2,3,3,4,4,2,3,2,2,1,1,1,1,7,1,2,2,7,1,5,4,5,5,88,2,8,1,1965,1,11,1,3,2,1,7,1,8,2,17,1,11,39,2,3,11,10001,4,4,5,11,1,10,3,1,5,5,5,2,1,3,2,101,7,9,37,3,2
4,2,2,2,2,2,1,3,1,2,1,3,2,1,4,5,1,1,1,1,1,1,3,3,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,1,1,5,2,1,1,3,3,1,1,1,2,2,11,11,11,11,11,11,11,11,1,3,4,5,1,8,8,10,2,1943,2,2,11,1,1,1,1,1,1,1,101,3,11,20,1,11,1,4,11,11,101,11,11,1001,3,1,8,2,4,2,1,1,2,101,3,3,59,5,4
1,5,5,2,1,4,2,5,1,1,1,3,2,2,5,5,5,1,1,1,1,1,1,5,5,1,5,2,5,8,3,2,4,10,0,3,5,4,4,4,5,4,2,7,7,7,7,7,7,1,8,1,1,1,3,3,3,3,1,1,1,7,1,8,2,5,2,10,9,10,2,1964,3,1,11,3,2,1,3,1,1,1,9,16,1,15,2,3,11,10001,6,7,1,11,3,32,1,1,6,6,3,3,1,1,2,101,2,7,38,3,2
2,4,1,4,1,1,2,4,1,4,2,2,2,2,5,5,5,4,1,1,1,1,5,1,1,1,3,1,5,1,1,1,1,14,2,3,5,3,1,1,5,1,2,5,4,2,4,4,4,3,2,2,2,1,1,3,2,1,1,1,1,1,1,5,5,5,2,10,9,10,2,1948,1,11,1,2,1,1,1,1,1,1,7,1,11,48,2,1,11,10001,1,4,1,11,3,37,1,1,6,5,3,3,1,6,2,101,4,8,54,5,4
1,5,5,5,2,1,2,4,2,4,1,2,2,1,2,5,1,2,1,1,2,1,5,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,5,1,7,7,7,7,7,7,3,8,2,2,1,1,2,2,1,1,1,1,1,1,1,2,5,3,8,4,8,2,10001,2,2,11,1,1,1,1,1,1,1,7,15,1,40,1,3,11,10001,11,11,101,11,11,1001,3,1,3,1,3,3,1,8,2,101,4,4,,11,6
3,3,4,3,4,2,2,5,3,2,1,2,1,1,3,5,2,4,1,1,2,1,3,1,1,1,3,4,2,3,2,3,2,4,6,3,2,3,3,4,4,2,4,5,2,2,2,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,4,5,3,9,9,10,1,1966,1,11,1,4,2,2,3,1,9,2,12,1,11,40,2,3,11,10001,5,7,1,11,3,37,1,1,7,5,3,3,1,8,2,101,5,8,36,3,2
5,1,1,3,4,4,2,2,1,1,1,2,2,1,5,5,5,5,1,2,2,3,5,2,4,1,5,5,1,3,3,4,5,1,5,3,5,4,4,4,3,5,1,7,7,4,4,4,4,3,8,3,2,1,1,1,1,1,2,2,3,3,1,2,3,5,4,3,3,10,1,1939,2,1,11,2,1,1,2,1,4,2,101,13,1,40,1,3,11,10001,2,4,15,1,3,40,1,1,5,6,3,3,1,8,2,101,2,4,63,6,5
1,4,4,2,2,1,1,3,2,1,1,2,1,1,5,5,3,1,1,2,2,1,1,2,5,1,3,4,2,8,3,3,3,14,14,2,2,7,4,4,5,3,2,7,7,7,7,7,7,3,8,2,1,2,11,11,11,11,11,11,11,11,1,2,3,4,3,9,7,9,1,1941,1,11,1,2,1,1,1,1,5,1,7,13,1,40,2,3,11,10001,1,5,13,1,1,35,1,1,5,3,3,4,1,1,1,1,3,5,61,6,5
1,3,4,4,8,1,1,5,2,2,1,1,1,1,8,5,5,2,1,1,2,1,5,2,4,1,5,3,6,3,3,3,3,11,11,3,1,7,3,2,5,3,2,5,2,2,3,4,4,2,2,2,1,2,11,11,11,11,11,11,11,11,1,3,2,5,1,10,10,10,2,1982,5,1,11,2,1,1,5,1,1,1,13,1,11,43,2,3,11,10001,5,1,1,11,3,42,3,1,6,3,4,3,1,5,2,101,2,4,20,2,1
