v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v99,v100,v101,v102,v103,v104,v105,v106,v107,v115,v116,v117,v118,v120,v121,v122,v123,v125,v126,v127,v128,v129,v130,Alder,alderinterval,recodetalder
2,4,5,2,3,1,1,5,1,2,1,2,2,1,3,4,1,2,2,1,3,1,5,2,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,8,1,7,7,7,7,7,7,4,8,2,2,2,11,11,11,11,11,11,11,11,1,2,2,5,1,6,5,10,1,10001,2,2,11,1,1,1,7,1,9,2,101,17,1,48,1,11,2,10001,11,11,101,11,11,1001,1,1,4,6,1,1,1,8,2,101,3,3,,11,6
1,1,5,5,5,1,1,5,1,1,1,2,1,1,5,5,5,4,1,1,1,4,5,3,5,1,4,5,1,3,2,3,3,14,16,3,4,1,3,2,3,5,1,5,5,4,4,4,4,3,3,1,2,1,1,1,1,1,2,2,2,2,1,5,5,5,5,8,4,8,1,1944,1,11,1,2,1,1,1,1,4,2,12,1,11,45,1,3,11,10001,4,7,3,11,3,20,1,1,5,4,1,1,1,8,2,101,6,9,58,5,4
5,2,2,5,3,1,3,3,2,1,1,3,2,2,5,5,1,1,1,1,4,1,5,1,1,1,3,5,3,5,5,6,5,2,20,3,1,4,2,4,1,1,4,1,5,1,2,4,2,3,4,2,1,1,1,1,7,7,1,3,7,7,1,2,2,4,5,10,10,10,1,1960,1,11,1,4,1,3,5,1,1,1,101,1,11,40,1,3,11,10001,6,5,16,1,3,37,3,1,7,4,1,1,1,2,2,101,9,13,42,4,3
1,8,3,1,1,1,3,5,3,3,8,8,8,8,5,5,5,8,1,1,1,8,5,1,2,1,4,3,3,3,3,3,3,5,5,3,5,7,4,4,5,3,1,8,3,4,4,4,4,3,5,1,1,2,11,11,11,11,11,11,11,11,8,2,3,3,3,9,8,10,1,1973,5,1,11,2,1,1,5,1,1,3,12,1,11,30,2,3,11,10001,5,8,1,11,3,37,1,1,6,5,1,1,1,8,2,101,3,6,29,2,2
1,3,3,2,1,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,4,1,3,2,6,1,3,6,2,21,70,1,1,3,3,3,5,4,1,3,5,3,4,4,4,5,1,6,1,1,1,2,2,2,1,1,1,1,8,2,2,1,8,10,0,10,2,1945,1,11,1,2,1,1,4,1,7,2,17,5,11,888,2,2,11,10001,5,8,15,1,2,40,1,1,5,3,1,1,1,13,2,101,3,8,57,5,4
3,2,3,3,3,1,3,2,3,2,1,3,8,1,8,8,8,3,3,3,8,3,5,1,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,1,7,7,7,7,7,7,2,8,2,2,2,11,11,11,11,11,11,11,11,1,4,3,5,3,10,10,10,2,10001,5,2,11,1,1,1,1,11,7,11,12,15,1,40,1,1,11,10001,11,11,101,11,11,1001,2,1,2,3,1,1,1,7,2,101,4,4,,11,6
1,5,5,3,3,1,1,5,3,3,1,2,1,1,3,5,2,1,1,3,2,1,5,1,3,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,3,1,7,7,7,7,7,7,3,8,3,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,10,10,10,2,1935,3,2,11,1,1,1,4,1,1,1,10,15,1,37,2,3,11,10001,11,11,101,11,11,1001,2,6,5,6,1,1,1,10,1,10,2,1,67,6,5
1,2,4,5,4,4,1,5,2,2,1,2,2,1,5,5,5,4,1,1,5,1,4,2,2,1,4,1,3,8,3,3,3,14,7,2,1,7,1,1,5,2,1,7,7,7,7,7,7,3,8,1,1,2,11,11,11,11,11,11,11,11,1,1,2,2,2,10,7,10,2,1983,5,1,11,2,1,1,3,2,1,3,13,12,1,37,2,3,11,10001,5,11,9,11,3,37,1,1,8,6,1,1,3,101,2,101,2,5,19,1,1
3,3,3,3,3,3,3,3,3,3,1,8,8,1,3,5,1,3,1,1,1,3,5,2,2,1,2,1,3,3,1,6,1,19,2,3,5,4,4,4,6,5,1,7,7,7,7,7,7,3,8,2,2,1,3,3,3,3,1,1,1,1,1,3,5,3,3,10,10,10,2,1934,1,11,1,2,1,1,4,1,1,1,10,15,1,40,2,3,11,10001,7,8,15,1,1,888,3,1,8,6,1,1,1,8,1,8,2,8,68,6,5
8,8,8,8,8,8,1,4,2,4,1,2,1,1,1,2,1,4,2,2,8,2,5,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,11,1,7,7,7,7,7,7,1,8,1,2,2,11,11,11,11,11,11,11,11,11,11,11,11,11,10,88,10,2,1927,1,11,2,1,1,1,4,1,11,2,101,15,1,8,1,1,11,10001,2,9,15,1,11,1001,3,1,8,1,1,1,1,1,8,101,5,6,75,7,5
1,5,3,5,5,2,2,5,1,1,1,2,1,1,3,5,5,2,1,1,5,2,5,1,2,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,3,4,7,7,7,7,7,7,2,8,3,2,2,11,11,11,11,11,11,11,11,1,1,3,8,5,7,5,10,2,1977,5,2,11,1,1,1,5,1,9,3,15,12,1,30,2,1,11,10001,11,11,101,11,11,1001,3,1,8,5,1,1,1,10,2,101,1,1,25,2,2
5,2,2,8,1,5,4,1,2,1,1,3,2,1,2,5,3,2,1,3,5,1,3,1,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,5,2,4,2,3,4,4,4,2,3,2,2,1,1,3,2,1,1,1,7,7,1,2,2,2,3,6,0,10,2,1951,2,2,11,1,1,1,4,1,4,1,13,1,11,37,2,1,11,10001,11,11,101,11,11,1001,1,1,5,4,1,1,1,5,1,5,5,5,51,5,4
2,5,5,5,5,1,1,5,1,1,1,2,1,1,3,5,2,2,2,2,1,1,5,1,1,1,3,3,1,3,3,3,3,20,20,3,5,4,4,4,3,3,1,5,1,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,8,10,1,1946,1,11,2,10,1,1,1,1,4,2,10,1,11,37,2,3,11,10001,1,1,14,2,11,1001,1,1,7,5,1,1,1,8,1,8,4,6,56,5,4
1,2,2,5,5,1,1,5,1,1,1,2,2,1,5,5,4,4,1,1,4,2,5,1,4,1,3,1,4,1,2,2,3,3,1,1,2,7,3,4,2,2,5,1,5,1,1,4,4,3,4,3,1,2,11,11,11,11,11,11,11,11,1,1,4,5,5,8,6,9,2,1954,5,1,11,2,1,1,5,1,7,2,17,1,11,37,2,1,11,10001,2,1,3,11,2,29,1,1,8,4,1,1,1,1,2,101,6,8,48,4,3
1,5,5,4,4,2,4,5,1,1,1,1,1,1,5,5,5,1,1,1,4,2,5,1,1,1,3,4,4,3,4,4,4,12,20,4,5,4,3,3,3,2,4,4,2,11,11,11,11,3,2,3,1,1,1,1,7,7,1,1,7,7,1,4,2,5,3,8,88,10,2,1969,1,11,1,4,1,3,6,1,7,2,6,1,11,37,2,3,11,10001,7,6,1,11,3,37,1,1,7,5,3,4,1,4,2,101,6,9,33,3,2
2,4,5,3,5,1,1,5,1,2,1,2,1,1,3,5,4,4,1,1,2,1,2,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,5,1,5,2,3,3,4,4,3,1,2,1,2,11,11,11,11,11,11,11,11,1,5,4,5,2,9,9,10,1,1971,5,2,11,1,1,1,5,1,4,2,14,1,11,40,1,3,11,10001,11,11,101,11,11,1001,1,1,6,3,1,1,1,6,2,101,5,5,31,3,2
1,2,5,4,1,5,1,5,1,1,1,2,1,1,1,5,1,1,1,1,1,1,8,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,1,1,7,7,7,7,7,7,3,8,3,1,2,11,11,11,11,11,11,11,11,1,1,1,1,1,8,7,10,2,1980,5,2,11,5,1,1,5,1,6,3,16,12,2,1001,11,11,11,10001,11,11,101,11,11,1001,1,4,3,5,1,1,1,5,2,101,1,1,22,2,1
1,3,5,4,5,1,1,5,1,3,1,2,1,1,5,5,4,1,1,1,1,8,5,1,1,1,4,4,3,3,2,5,1,11,11,3,8,4,4,4,8,1,4,2,5,1,1,4,4,3,3,4,1,2,11,11,11,11,11,11,11,11,1,1,1,4,1,10,7,10,1,1978,5,1,11,2,1,1,5,1,6,3,16,5,11,37,2,3,11,10001,5,1,12,1,3,37,2,1,2,5,1,1,1,1,1,1,2,5,24,2,1
2,5,5,2,2,2,2,5,2,2,1,2,1,1,4,5,4,2,1,1,2,1,4,1,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,4,2,4,4,3,4,4,4,3,2,3,1,2,11,11,11,11,11,11,11,11,1,2,3,3,2,8,8,8,2,1961,5,2,11,1,1,1,7,2,7,3,13,9,11,37,2,1,11,10001,11,11,101,11,11,1001,1,1,7,6,1,1,1,1,8,101,1,1,41,4,3
1,5,5,4,2,3,2,5,2,1,1,2,1,1,4,5,5,1,1,1,1,1,5,2,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,3,2,1,5,2,2,4,4,3,2,2,2,1,7,1,1,1,7,7,7,7,1,1,2,1,1,6,4,8,2,1952,5,2,11,2,1,1,4,1,6,2,12,1,11,47,1,3,11,10001,11,11,101,11,11,1001,1,1,5,5,1,1,1,7,2,101,7,7,50,5,4
4,4,2,2,2,1,2,4,4,2,1,2,1,1,5,5,5,1,1,1,2,8,5,2,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,5,1,1,5,1,1,4,4,3,2,3,1,2,11,11,11,11,11,11,11,11,1,5,3,5,5,5,3,8,1,1967,5,2,11,2,1,1,5,1,8,2,20,1,11,50,1,3,11,10001,11,11,101,11,11,1001,1,1,6,6,1,1,1,13,2,101,7,11,35,3,2
1,5,5,5,4,1,1,5,8,8,1,1,1,1,5,5,5,1,1,1,1,5,5,5,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,5,5,1,2,4,4,4,3,1,1,1,2,11,11,11,11,11,11,11,11,8,2,5,1,1,7,3,88,2,1953,5,2,11,2,1,1,4,1,7,2,10,1,11,30,2,3,11,10001,11,11,101,11,11,1001,2,1,6,4,1,1,1,88,2,101,5,5,49,4,3
1,5,5,5,5,1,1,5,2,8,1,1,1,1,3,5,4,4,1,3,4,8,5,1,3,1,3,2,11,8,2,6,4,3,2,3,5,7,3,4,6,3,1,2,2,2,4,4,4,2,3,2,1,2,11,11,11,11,11,11,11,11,1,3,8,8,8,4,0,8,2,1972,1,11,1,2,1,1,6,1,7,2,13,1,11,40,2,3,11,10001,5,6,1,11,3,55,1,1,88,5,1,1,1,8,2,101,5,12,30,3,2
1,4,4,2,4,1,1,5,2,2,1,2,1,1,5,5,5,1,1,3,2,1,5,1,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,4,2,7,7,7,7,7,7,3,8,2,1,2,11,11,11,11,11,11,11,11,1,1,2,3,2,9,9,10,2,1982,5,2,11,5,1,1,5,1,1,1,13,101,1,40,1,3,11,10001,11,11,101,11,11,1001,3,1,6,3,1,1,1,10,2,101,1,12,20,2,1
1,2,2,2,2,1,1,5,3,3,1,3,1,1,5,5,5,1,1,1,1,8,5,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,4,11,11,11,11,11,11,11,101,11,11,2,11,11,11,11,11,11,11,11,11,11,11,11,11,101,101,101,1,1982,5,2,11,101,11,11,11,11,11,11,101,101,11,1001,11,11,11,10001,11,11,101,11,11,1001,11,11,101,101,11,11,11,101,11,101,101,101,20,2,1
1,2,2,2,1,1,1,2,2,1,1,2,2,1,8,5,1,4,1,2,1,1,5,1,5,1,3,3,1,3,3,3,4,5,10,3,5,7,4,4,2,2,1,1,1,4,4,4,4,2,3,1,2,2,11,11,11,11,11,11,11,11,8,1,5,5,1,10,0,10,1,1967,1,11,2,10,1,1,6,1,8,2,19,1,11,50,1,3,11,10001,6,8,16,1,3,37,3,6,5,3,1,1,1,2,2,101,9,9,35,3,2
2,5,5,5,8,2,2,4,3,3,1,1,1,1,2,5,2,4,1,1,2,2,5,5,5,1,4,4,2,3,4,6,4,5,10,4,3,7,3,3,2,4,2,1,4,2,2,4,4,2,2,2,1,2,11,11,11,11,11,11,11,11,1,2,5,4,4,9,9,8,1,1970,1,11,1,2,1,1,5,1,8,2,17,1,11,50,1,3,11,10001,5,4,1,11,3,37,2,1,5,4,1,1,1,3,1,3,9,13,32,3,2
1,4,5,5,3,1,2,5,2,2,1,2,1,1,3,5,5,2,1,2,2,1,5,1,5,1,4,2,5,3,3,2,4,6,4,2,3,4,3,4,6,2,4,2,4,4,4,4,4,3,3,1,1,1,1,7,7,7,1,7,7,7,1,2,5,2,3,8,8,9,2,1966,1,11,1,4,1,3,5,1,7,3,16,7,11,38,2,3,11,10001,5,8,1,11,1,60,1,1,5,3,1,1,1,1,1,1,6,12,36,3,2
4,2,2,3,4,2,1,5,3,3,1,2,2,1,5,5,2,4,2,1,3,3,5,2,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,4,3,2,2,4,4,4,3,3,4,1,2,11,11,11,11,11,11,11,11,1,3,4,5,3,6,6,9,1,1974,5,2,11,1,1,1,6,1,8,2,17,1,11,38,2,3,11,10001,11,11,101,11,11,1001,3,1,5,4,1,1,1,8,2,101,5,5,28,2,2
3,5,5,3,8,3,4,5,2,2,8,8,8,8,4,5,5,2,1,1,4,1,5,1,2,1,3,4,2,3,4,4,2,7,14,3,1,4,4,4,5,2,4,2,2,2,2,2,2,3,4,3,1,1,1,2,7,7,3,2,7,7,8,1,4,5,4,7,8,8,1,1964,1,11,1,4,2,2,6,1,8,3,17,3,11,25,2,1,11,10001,6,1,1,11,3,35,1,6,6,4,1,1,1,8,1,8,3,7,38,3,2
3,3,3,3,3,1,1,5,1,1,1,8,1,1,3,5,3,1,1,1,3,3,5,3,3,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,101,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,101,101,101,2,1951,11,2,11,1,1,1,5,1,9,2,24,1,11,40,1,1,11,10001,11,11,101,11,11,1001,1,1,8,6,1,1,1,5,1,5,6,7,51,5,4
2,4,5,5,2,1,2,5,4,4,8,2,1,1,5,5,2,4,1,1,2,1,5,1,1,1,5,3,4,8,3,3,3,7,7,3,1,7,4,4,6,5,1,7,7,7,7,7,7,5,8,5,1,2,11,11,11,11,11,11,11,11,8,2,8,4,2,8,7,10,2,1979,5,1,11,2,1,1,5,1,1,3,17,12,1,37,2,3,11,10001,3,1,2,11,4,40,1,1,6,6,1,1,1,8,1,8,1,6,23,2,1
4,2,2,3,3,1,3,3,2,2,8,2,2,1,3,5,3,2,1,1,1,2,5,4,2,1,5,2,4,8,2,6,2,7,4,2,3,7,4,4,4,4,5,2,2,3,4,4,4,2,2,2,2,2,11,11,11,11,11,11,11,11,8,3,3,3,1,101,10,10,2,1965,5,1,11,2,1,1,5,1,7,2,15,2,11,40,1,4,1,8888,4,1,2,11,4,25,1,1,8,3,1,1,1,3,2,101,7,11,37,3,2
2,2,5,5,5,2,3,5,3,1,1,2,2,1,5,5,5,4,1,1,3,8,5,1,3,1,4,2,4,3,3,3,3,9,9,3,3,7,4,4,3,4,1,7,7,7,7,7,7,2,8,1,1,2,11,11,11,11,11,11,11,11,1,2,4,4,3,7,5,8,2,1977,5,1,11,2,1,1,7,1,8,3,18,12,1,15,1,1,11,10001,5,7,12,1,1,888,3,6,8,2,3,1,1,2,2,101,2,5,25,2,2
1,4,2,4,3,1,1,5,3,3,1,2,1,8,5,5,2,2,1,1,3,2,5,2,8,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,8,1,7,7,7,7,7,7,4,8,3,1,1,1,2,1,1,1,1,7,7,1,2,2,1,1,10,10,10,2,1940,3,2,11,1,1,1,1,1,9,2,12,13,1,37,8,1,11,10001,11,11,101,11,11,1001,1,1,5,5,1,1,1,2,8,101,3,3,62,6,5
4,2,1,3,4,3,3,2,5,5,1,3,3,1,3,5,1,3,1,1,1,2,4,4,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,3,1,11,11,11,11,11,11,4,101,11,11,1,11,11,11,11,7,7,7,7,2,2,5,5,3,9,7,10,1,1926,2,2,11,1,1,1,6,1,9,2,13,5,11,37,1,3,11,10001,11,11,101,11,11,1001,3,6,8,4,1,1,1,8,2,101,8,8,76,7,5
1,8,1,2,8,8,4,2,4,4,1,3,2,1,4,5,1,1,1,1,1,2,4,2,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,3,2,4,2,3,4,4,3,3,2,2,1,1,3,2,1,1,1,1,1,1,3,2,5,3,7,7,10,2,1944,3,2,11,1,1,1,1,2,6,11,101,1,11,37,2,3,11,10001,11,11,101,11,11,1001,1,1,6,1,2,1,1,8,2,101,6,6,58,5,4
1,3,5,3,2,3,1,5,1,2,1,2,1,1,5,5,1,2,1,3,2,8,5,1,1,1,3,2,5,6,3,3,4,50,50,3,5,7,4,4,4,3,1,4,4,2,3,4,4,2,1,2,1,2,11,11,11,11,11,11,11,11,1,3,2,4,2,10,10,10,2,1981,5,1,11,2,1,1,4,1,9,2,10,3,11,28,2,1,11,10001,4,1,3,11,3,25,1,1,5,7,2,8,1,13,2,101,2,2,21,2,1
1,5,5,5,3,1,1,5,3,3,8,8,8,8,3,5,2,1,1,1,3,1,5,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,1,5,2,3,4,4,4,3,2,2,1,1,7,2,2,1,7,2,2,1,8,3,3,5,3,9,7,10,2,1954,3,2,11,1,1,1,4,1,7,2,14,1,11,37,2,1,11,10001,11,11,101,11,11,1001,1,1,7,6,1,1,1,10,2,101,5,5,48,4,3
2,4,8,5,4,2,1,5,1,1,1,2,2,2,2,5,5,4,1,1,2,2,4,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,1,5,4,2,1,2,2,2,5,2,3,1,1,7,2,7,7,1,1,7,7,1,2,2,2,4,6,4,7,2,1961,3,2,11,2,1,2,5,1,8,2,24,1,11,30,2,1,11,10001,11,11,101,11,11,1001,1,1,5,4,1,1,1,5,2,101,6,6,41,4,3
1,5,5,8,8,1,1,5,2,2,1,1,1,1,5,5,5,4,1,1,1,8,8,1,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,1,1,5,1,4,4,4,4,4,2,5,1,2,11,11,11,11,11,11,11,11,1,1,3,1,5,10,8,10,1,1979,5,2,11,1,1,1,5,1,1,3,17,5,11,10,2,3,11,10001,11,11,101,11,11,1001,3,6,7,2,1,1,1,8,2,101,1,1,23,2,1
1,5,2,5,1,1,1,5,1,1,8,8,8,8,3,5,5,1,1,1,1,1,5,2,1,1,5,1,4,2,3,3,3,88,88,3,2,1,1,1,5,3,1,3,1,4,4,4,4,1,1,1,8,1,1,2,2,7,1,1,1,7,8,1,3,1,3,9,9,10,2,1960,1,11,1,5,4,1,6,1,6,2,13,8,11,888,1,4,1,35,6,6,2,11,4,888,3,1,7,3,1,1,1,3,8,101,9,11,42,4,3
4,2,2,2,3,2,3,3,2,2,1,3,3,1,3,3,1,5,1,1,2,1,4,5,5,1,3,5,6,3,3,5,3,2,8,5,5,4,4,4,2,5,5,7,7,7,7,7,7,2,8,1,2,1,1,1,1,1,1,3,1,1,1,2,4,4,3,10,10,5,1,1925,1,11,1,2,1,1,6,1,6,2,14,15,1,50,1,4,1,10,5,7,15,1,1,37,3,6,8,3,1,1,1,8,1,8,5,7,77,7,5
5,1,1,8,2,1,5,2,3,5,1,3,3,2,5,5,1,5,2,8,2,3,5,2,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,1,4,7,7,7,7,7,7,4,8,2,2,2,11,11,11,11,11,11,11,11,1,2,2,4,8,2,0,8,2,1946,5,2,11,1,1,1,3,1,7,2,14,10,1,37,2,3,11,10001,11,11,101,11,11,1001,1,1,8,5,1,1,1,3,2,101,4,4,56,5,4
1,5,5,2,2,2,1,5,3,3,1,2,1,1,5,5,5,1,1,1,4,2,5,1,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,5,3,4,4,2,4,4,4,3,3,2,1,2,11,11,11,11,11,11,11,11,1,2,2,8,5,7,7,9,2,1972,5,2,11,1,1,1,5,1,4,2,14,1,11,40,2,2,11,10001,11,11,101,11,11,1001,1,1,6,4,1,1,1,2,2,101,4,4,30,3,2
2,4,5,5,5,1,1,5,1,1,1,2,1,1,2,4,1,3,1,1,1,1,4,1,5,1,5,3,4,8,2,3,2,10,6,1,2,7,4,4,3,4,4,2,4,3,4,4,4,3,2,3,1,2,11,11,11,11,11,11,11,11,1,3,2,3,1,10,88,10,2,1976,5,1,11,2,1,1,5,1,7,2,17,1,11,37,2,1,11,10001,7,6,1,11,1,40,1,1,5,3,1,1,1,8,2,101,5,8,26,2,2
2,1,1,2,8,8,2,1,8,8,1,3,2,3,8,5,2,4,2,2,2,8,5,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,1,3,7,7,7,7,7,7,2,8,2,1,2,11,11,11,11,11,11,11,11,1,8,2,8,2,88,88,10,1,1980,5,2,11,4,1,1,7,1,9,2,13,17,2,1001,11,11,11,10001,11,11,101,11,11,1001,2,1,88,1,1,1,2,101,2,101,1,7,22,2,1
1,5,5,5,8,2,1,5,3,3,1,1,1,1,5,5,5,5,1,1,2,8,5,1,2,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,3,4,7,7,7,7,7,7,3,8,1,1,2,11,11,11,11,11,11,11,11,1,5,5,5,8,8,2,9,2,1978,5,2,11,3,1,1,6,1,7,3,16,12,1,10,2,3,11,10001,11,11,101,11,11,1001,3,1,6,4,1,1,1,8,2,101,2,8,24,2,1
4,1,1,1,4,2,2,2,4,3,2,3,2,1,2,4,2,3,3,1,2,2,5,1,3,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,3,2,4,2,2,3,3,2,3,2,2,1,1,1,1,7,1,2,1,7,2,3,3,3,8,9,9,10,1,1952,3,2,11,2,2,1,5,1,8,2,20,2,11,55,1,4,2,10001,11,11,101,11,11,1001,2,5,4,4,1,1,2,101,1,5,6,6,50,5,4
1,5,5,5,2,1,4,5,1,1,1,1,1,1,5,5,5,4,1,1,2,1,4,1,8,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,1,1,1,1,2,4,4,4,3,2,4,1,2,11,11,11,11,11,11,11,11,1,2,1,1,1,10,10,8,1,1974,5,2,11,2,1,1,4,1,4,2,12,1,11,45,1,3,11,10001,11,11,101,11,11,1001,2,1,7,4,1,1,1,1,1,1,5,5,28,2,2
1,5,5,8,3,1,1,5,1,1,1,1,1,1,1,2,1,4,1,1,1,1,5,1,4,1,4,5,1,8,4,5,2,14,20,4,1,4,4,2,2,1,1,1,5,4,3,4,4,1,2,1,2,1,1,1,1,1,7,3,3,1,1,1,1,2,8,10,5,10,1,1946,1,11,1,2,1,1,1,1,4,2,12,2,11,58,1,4,1,6,4,4,1,11,3,37,2,1,6,5,1,1,1,8,1,8,9,12,56,5,4
2,4,4,5,3,2,2,4,3,2,1,8,1,1,4,5,5,2,1,1,3,8,5,2,3,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,3,2,4,2,3,4,4,3,2,3,1,2,11,11,11,11,11,11,11,11,1,2,4,4,3,7,7,10,1,1977,5,2,11,1,1,1,5,1,6,3,15,9,11,40,1,1,11,10001,11,11,101,11,11,1001,1,1,5,3,1,1,1,1,2,101,4,4,25,2,2
2,4,4,5,2,2,1,5,1,1,1,2,8,1,5,5,1,2,1,2,5,3,5,1,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,5,1,2,4,1,4,4,4,2,2,2,1,2,11,11,11,11,11,11,11,11,1,1,3,3,3,10,10,10,2,1973,5,2,11,1,1,1,5,1,7,2,14,1,11,37,2,1,11,10001,11,11,101,11,11,1001,1,1,4,5,1,1,1,2,1,2,4,4,29,2,2
2,4,5,5,3,4,3,5,3,3,8,8,8,8,3,5,2,2,1,3,2,3,5,3,3,1,4,1,4,8,3,2,3,6,2,2,5,7,4,4,5,2,3,4,4,2,4,4,4,3,3,2,1,2,11,11,11,11,11,11,11,11,8,5,4,4,2,10,6,10,2,1959,1,11,1,2,1,1,6,1,1,1,13,1,11,50,1,3,11,10001,6,7,1,11,3,40,1,1,6,5,1,1,1,8,1,8,7,11,43,4,3
1,4,4,5,4,5,2,5,2,1,1,8,1,1,2,5,5,2,1,1,1,2,5,1,2,1,5,2,4,8,1,2,3,51,2,2,2,4,3,2,5,2,4,7,7,7,7,7,7,3,8,2,1,1,1,7,7,7,1,7,7,7,1,4,5,2,8,6,88,9,2,1971,5,1,11,3,1,2,5,1,8,3,18,12,1,32,2,1,11,10001,5,8,2,11,4,55,1,6,8,3,1,1,1,10,2,101,2,5,31,3,2
1,5,5,5,2,1,2,5,1,1,1,8,1,1,3,5,3,1,1,3,1,8,5,1,1,1,3,2,3,8,4,3,4,10,15,4,5,7,4,4,5,2,1,2,4,1,1,4,4,2,3,1,1,2,11,11,11,11,11,11,11,11,1,1,2,5,8,8,6,10,2,1969,1,11,1,2,1,1,5,1,8,3,22,1,11,37,1,3,11,10001,5,8,3,11,1,17,2,1,8,3,1,1,1,2,1,2,4,7,33,3,2
1,4,4,2,4,1,2,5,1,1,1,2,1,1,3,3,2,3,1,2,2,1,4,4,4,1,5,4,3,3,4,4,4,3,15,5,2,3,2,2,3,5,1,5,4,3,3,3,4,4,3,4,1,1,1,1,1,7,1,1,1,7,1,2,3,4,3,7,4,7,1,1955,5,1,11,3,2,1,5,1,6,1,15,1,11,37,2,3,11,10001,5,8,1,11,1,37,1,1,7,6,1,1,1,5,2,101,6,10,47,4,3
2,5,2,4,4,2,2,2,2,2,1,2,2,2,2,8,1,8,1,1,2,1,8,1,8,1,3,1,5,3,1,1,1,2,0,2,4,4,4,4,6,11,2,11,11,2,11,11,11,2,2,2,2,1,1,2,2,2,2,2,1,1,1,5,4,5,8,10,10,10,2,1940,1,11,1,2,1,1,4,1,6,2,15,3,11,37,2,1,11,10001,5,8,1,11,1,1001,1,1,6,5,1,1,1,2,2,101,3,9,62,6,5
1,2,5,5,3,1,1,5,1,1,1,2,1,1,2,5,8,1,1,8,1,2,5,1,3,1,3,1,6,5,3,2,1,10,4,2,5,4,4,3,5,4,5,4,5,3,3,3,3,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,4,1,4,10,9,10,2,1944,1,11,1,2,1,1,5,1,7,2,25,1,11,37,2,1,11,10001,5,8,1,11,1,37,1,1,5,3,1,1,1,1,1,1,5,10,58,5,4
3,3,3,5,5,1,3,5,1,1,8,8,8,8,4,5,3,4,1,1,1,2,3,1,2,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,3,3,3,3,3,4,3,3,3,3,2,1,1,2,1,7,1,1,1,7,8,1,2,3,5,6,3,8,2,1962,5,2,11,2,2,1,5,1,6,2,15,1,11,35,1,1,11,10001,11,11,101,11,11,1001,1,1,5,4,1,1,1,1,2,101,5,5,40,4,3
