s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s2,s2b,s3_1,s3_2,s4_1,s4_2,s4_3,s4_4,s5_1,s5_2,s5_3,s5_4,s6,s7_1,s7_2,s7_3,s7_4,s7_5,s8,s8b,s9,s10a,s10b,s11,s12,s13,s14,bvq_14,bvq_34a,s15a,s15b,s16a,s16b,d17,s18_1,s18_2,s18_3,s18_4,s18_5,s18_6,s19,s20_1,s20_2,s20_3,s20_4,s21,s22a,s22b,s23,s24,s25,s26,s27_1,s27_2,s27_3,s28a,s28b,s29,s30a,s30b,s31_1,s31_2,s32_1,s32_2,s32_3,s32_4,s32_5,s32_6,s32_7,s32_8,s33_1,s33_2,s33_3,s33_4,s34_1,s34_2,s34_3,s34_4,s34_5,s34_6,bvq_01,bvq_02_3,bvq_03,bvq_04_1,bvq_04_1_oth,bvq_04_2,bvq_04_2_oth,bvq_05_1,bvq_05_2,bvq_07,bvq_08,bvq_09,bvq_10,bvq_15_1,bvq_15_2,bvq_16,bvq_17,bvq_18,bvq_21,bvq_22,bvq_22_oth,bvq_23,bvq_24,bvq_25,bvq_26,bvq_26_oth,bvq_28,bvq_29,bvq_30,bvq_31,bvq_32,bvq_33,bvq_37,bvq_dk1_1,bvq_dk1_2,bvq_dk1_3,bvq_dk1_4,GI
2,3,4,2,2,4,3,3,2,2,3,4,3,3,3,3,3,3,2,3,3,3,3,3,1,12,3,8,8,2,1,2,2,1,1,5,1,5,1,2,5,3,3,4,3,3,3,8,8,8,8,2,3,4,5,4,4,1,3,3,3,4,3,2,3,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1942,9,4,,1,,11,1,2,2,,8,1,,37,2,2,3,1,,8,6,3,,,2,0,0,2,12000,40000,3,1,0,0,0,1.51857794181109
1,5,5,5,5,5,3,3,2,2,5,5,5,1,1,1,1,1,2,3,3,3,3,3,1,12,3,2,3,2,2,2,2,1,1,8,6,8,0,5,1,3,1,4,1,5,3,3,8,8,8,2,3,5,2,4,4,3,3,3,3,4,3,2,3,,5,,3,3,1,2,1,5,1,3,5,8,8,5,5,5,3,5,3,3,2,1958,16,5,,4,,1,,1,2,,,1,,38,1,2,1,2,,7,2,1,1,,2,0,0,2,8888888888,8888888888,3,0,0,1,0,0.700877428620546
1,5,5,5,4,5,3,3,1,1,5,3,5,1,2,2,1,1,2,3,3,3,3,3,1,10,3,3,8,2,1,2,2,1,1,10,0,8,0,4,1,2,8,3,2,3,2,3,8,8,8,2,4,4,4,4,4,3,3,3,3,4,4,2,,1,,4,5,2,1,4,1,4,5,5,3,3,2,4,3,5,3,4,2,4,2,1971,18,7,,7,,1,,2,2,,1,1,,37,1,2,1,2,,7,4,1,11,,3,1,0,4,50000,95000,1,0,1,0,0,0.450884718013568
2,4,5,5,2,5,5,2,8,8,5,5,5,1,1,1,1,1,3,3,3,3,3,3,2,,2,8,3,1,8,2,1,1,1,15,1,3,0,3,1,2,1,2,2,2,2,1,8,8,8,2,1,4,1,4,4,4,3,3,3,4,4,2,,4,,3,4,4,1,5,4,3,3,5,8,8,8,8,3,3,3,3,3,3,2,1900,6,4,,4,,1,,1,2,,,1,,45,1,1,1,2,,4,6,1,14,[lokalliste],2,0,0,2,43000,1500000,3,0,0,1,0,0.947998698796697
1,5,5,5,8,5,3,2,2,1,3,2,5,1,2,2,2,2,2,3,3,3,3,3,1,12,3,2,3,2,8,8,2,1,1,15,0,1,0,3,1,2,8,2,1,1,3,8,8,8,8,1,1,4,6,4,4,3,3,3,3,4,3,1,,1,,5,5,2,1,4,,5,3,5,3,3,3,3,4,4,4,4,4,4,2,1965,1,6,,6,,1,,1,2,,,12,1,,3,2,1,2,,6,4,1,1,,2,0,0,2,27000,50000,4,1,0,0,0,0.44422853110213
1,5,5,2,3,5,3,3,1,1,4,2,5,1,1,1,1,1,2,3,3,3,3,3,1,2,2,2,8,2,8,2,2,1,1,4,24,4,24,3,1,1,2,3,2,4,3,1,2,8,3,2,8,6,4,3,4,2,3,3,4,8,8,2,1,,2,,1,3,3,3,3,3,2,3,8,8,8,8,2,5,2,4,2,4,2,1991,14,8,Sosu - ssh og ssa,3,,1,,1,2,,,1,,40,2,2,1,2,,88,99,1,9,,2,2,0,4,8888888888,8888888888,3,0,1,0,0,1.61092130588553
1,1,3,3,4,5,3,3,1,1,2,3,3,1,5,5,5,5,2,3,3,3,3,3,1,2,3,3,3,2,2,2,2,1,1,14,0,7,0,3,3,3,3,3,3,3,3,3,3,3,3,1,1,7,5,4,4,1,3,3,3,3,1,3,2,,3,,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,2,1963,35,2,,1,,2,,3,2,,1,2,,50,3,2,1,1,,8,1,2,,,3,0,0,0,15000,15000,1,0,0,1,0,2.04707892351997
1,5,5,5,2,5,3,2,1,1,4,2,5,1,1,1,1,1,2,3,3,3,3,3,1,12,2,3,8,2,2,2,2,1,1,15,0,10,0,4,3,2,2,4,2,3,3,3,3,8,8,2,8,7,7,4,4,3,3,3,3,5,3,4,,1,,2,5,1,1,4,1,5,5,5,5,5,2,5,3,5,5,5,2,4,2,1972,4,4,,6,,1,,2,1,13,1,11,1,,1,2,2,2,,6,3,1,1,,3,1,0,4,8888888888,8888888888,1,1,0,0,0,0.450884718013568
5,1,1,1,1,1,5,3,3,3,5,1,1,5,5,5,5,5,2,5,1,3,3,3,2,,1,1,6,1,8,1,1,3,6,3,,,,,,,,,,,,8,8,8,8,3,1,1,1,1,1,7,5,5,5,1,5,0,,3,,1,1,5,5,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1971,9,3,,1,,10,1,1,2,,,,,,,,3,1,,8,10,2,,,2,0,0,2,4000,17000,5,1,0,0,0,2.13190464461335
1,8,5,1,1,5,3,3,3,3,5,1,5,1,1,2,5,5,2,5,3,3,3,3,1,12,2,2,3,1,2,2,2,3,4,2,0,,,,,,,,,,,8,8,8,8,8,8,8,8,88,8,1,1,5,8,1,1,2,1,,1,,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,8,1,2,1954,1,5,,11,2,11,2,,,,,,,,,,1,2,,88,99,1,1,,2,0,0,2,8888888888,8888888888,2,1,0,0,0,0.791577166466905
1,4,5,5,3,5,1,3,1,1,2,1,4,1,2,2,1,1,2,3,3,3,3,3,1,12,3,8,8,2,1,2,2,1,1,9,0,7,0,1,3,2,4,3,3,3,3,2,2,3,3,2,4,7,4,3,3,5,3,3,4,4,2,1,,1,,8,2,3,1,4,2,4,1,2,3,4,4,2,2,5,4,5,5,5,2,1973,14,5,,3,,1,,2,2,,1,1,,37,1,2,1,2,,5,4,1,6,,2,0,0,2,34670,69000,1,0,1,0,0,0.937509600121994
1,5,5,8,8,5,3,2,1,1,5,3,5,1,1,1,1,1,4,3,3,3,3,3,1,9,2,3,8,2,8,2,1,1,6,7,0,7,0,4,3,4,6,3,3,2,3,1,8,8,8,2,5,7,7,4,5,4,3,3,3,5,3,0,3,,1,,4,4,1,4,1,5,8,5,4,4,5,8,5,5,5,3,3,3,1,1996,19,4,,7,,1,,1,2,,,8,2,,,,2,1,,8,5,1,12,,2,0,0,2,27000,33000,1,0,1,0,0,0.795014582668273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,5,3,5,3,3,1,1,2,2,3,1,2,2,1,1,3,3,3,3,3,3,1,12,3,3,8,4,2,2,2,1,2,5,0,5,0,4,3,3,3,4,6,3,3,3,3,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,4,4,2,5,3,3,2,1,5,3,3,3,4,4,4,4,3,3,3,3,3,3,1,6,3,2,6,4,8,4,2,1,1,5,1,5,1,3,4,2,3,2,3,2,2,3,3,3,3,2,2,4,2,3,4,2,4,3,4,4,4,3,2,,2,,3,4,1,2,2,2,2,2,2,2,2,3,4,5,3,3,4,5,1,1943,6,8,HD + Diplomingeniør,7,,2,,4,,3,1,11,1,,1,1,3,2,,5,3,1,11,,2,0,0,2,25000,30000,3,1,0,0,0,0.498692026806514
2,4,3,4,5,5,3,3,2,1,4,5,5,1,2,2,2,2,3,3,3,3,3,3,1,12,3,2,3,8,1,2,2,1,2,15,1,15,3,4,3,4,4,3,3,3,3,2,1,8,8,2,3,8,2,1,1,4,3,3,3,3,4,2,,2,,3,2,4,1,2,3,3,2,2,1,1,1,3,2,5,3,4,2,5,2,1965,3,5,,4,,1,,1,2,,,1,,37,2,2,2,2,,6,6,1,1,,3,,,3,25000,50000,3,1,0,0,0,0.671243832102472
1,5,5,5,8,5,3,3,1,1,5,3,5,1,1,1,1,1,2,3,3,3,3,3,1,6,3,3,1,2,1,2,1,1,6,4,0,4,0,4,3,3,8,4,4,2,3,3,8,8,8,3,2,7,7,4,4,1,3,3,3,5,4,0,,1,,5,4,3,1,4,1,5,5,5,5,3,3,5,4,4,3,5,2,4,1,1974,17,6,,4,,1,,2,2,,2,1,,37,2,2,1,2,,7,4,1,2,,2,0,0,2,76000,100000,3,1,0,0,0,1.04029809196516
1,2,2,2,3,5,3,3,2,2,2,5,5,1,1,1,1,1,2,3,3,3,3,3,1,12,2,2,2,2,2,2,2,1,1,2,37,2,37,3,2,2,2,3,2,3,3,1,1,8,3,3,4,8,4,2,4,2,3,3,3,2,4,2,,1,,2,2,4,2,2,3,2,1,3,3,3,1,4,4,5,2,5,8,5,2,1988,12,5,,3,,1,,2,2,,1,1,,50,2,1,1,2,,8,8,1,9,,2,1,1,4,8888888888,8888888888,3,0,1,0,0,1.18075284996588
1,3,5,8,2,5,5,3,3,1,2,8,8,8,2,2,8,8,2,3,3,3,3,3,1,6,3,1,3,1,2,1,2,1,1,2,15,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,4,5,3,3,2,,5,5,5,1,1,1,1,1,2,3,3,3,3,3,1,12,3,4,3,4,2,2,2,3,5,40,1,,,,,,,,,,,8,8,8,8,2,5,5,4,2,2,2,3,3,3,3,3,3,,1,,5,5,2,1,4,2,5,1,3,1,1,4,5,5,5,5,5,4,5,2,1949,17,8,Universitet,5,,11,1,1,2,,,,,,,,2,2,,6,6,1,11,,0,0,0,1,8888888888,,5,1,0,0,0,0.755398463961247
1,2,1,4,5,5,3,3,2,2,5,2,4,1,4,4,1,1,2,3,3,3,3,3,1,12,2,4,3,2,2,2,2,1,1,6,2,6,0,4,1,3,1,4,,3,3,3,3,8,8,2,4,6,2,4,1,2,2,2,2,5,3,2,,1,,2,4,2,1,3,2,5,2,2,5,3,5,5,4,5,4,5,5,5,2,1959,14,5,,3,,1,,1,2,,,1,,37,1,2,1,2,,6,3,7,,,2,0,0,2,33000,70000,3,0,1,0,0,0.454427555941933
