s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s2,s2b,s3_1,s3_2,s4_1,s4_2,s4_3,s4_4,s5_1,s5_2,s5_3,s5_4,s6,s7_1,s7_2,s7_3,s7_4,s7_5,s8,s8b,s9,s10a,s10b,s11,s12,s13,s14,bvq_14,bvq_34a,s15a,s15b,s16a,s16b,d17,s18_1,s18_2,s18_3,s18_4,s18_5,s18_6,s19,s20_1,s20_2,s20_3,s20_4,s21,s22a,s22b,s23,s24,s25,s26,s27_1,s27_2,s27_3,s28a,s28b,s29,s30a,s30b,s31_1,s31_2,s32_1,s32_2,s32_3,s32_4,s32_5,s32_6,s32_7,s32_8,s33_1,s33_2,s33_3,s33_4,s34_1,s34_2,s34_3,s34_4,s34_5,s34_6,bvq_01,bvq_02_3,bvq_03,bvq_04_1,bvq_04_1_oth,bvq_04_2,bvq_04_2_oth,bvq_05_1,bvq_05_2,bvq_07,bvq_08,bvq_09,bvq_10,bvq_15_1,bvq_15_2,bvq_16,bvq_17,bvq_18,bvq_21,bvq_22,bvq_22_oth,bvq_23,bvq_24,bvq_25,bvq_26,bvq_26_oth,bvq_28,bvq_29,bvq_30,bvq_31,bvq_32,bvq_33,bvq_37,bvq_dk1_1,bvq_dk1_2,bvq_dk1_3,bvq_dk1_4,GI
2,3,3,8,8,3,3,2,2,2,4,8,3,1,3,3,4,4,2,3,3,3,3,3,2,,8,8,3,1,1,2,2,1,1,5,0,5,0,3,5,4,8,3,4,4,3,8,,,,8,8,8,8,88,8,3,8,8,8,4,3,2,3,,8,,1,,,,,,,,8,,,,8,8,8,8,8,8,1,,0,3,,2,,11,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,5,1,8,5,3,3,1,1,3,4,5,1,1,1,1,1,2,3,3,3,3,3,1,4,3,3,8,2,1,4,1,1,1,14,40,14,10,4,4,2,2,4,4,1,3,1,3,8,2,2,2,2,4,4,4,4,4,4,4,4,2,2,3,,8,,2,3,1,4,2,4,3,4,3,3,1,1,5,5,2,5,3,5,1,1993,16,5,,6,,1,,2,2,,1,1,,40,2,1,1,2,,8,4,1,2,,2,0,2,4,92000,92000,3,0,1,0,0,1.48169579091954
2,4,5,4,1,5,3,3,1,1,3,5,5,1,1,1,1,1,20,3,3,3,3,3,2,,3,5,3,2,1,1,1,2,4,25,10,,,,1,1,1,1,1,1,,2,2,3,2,2,1,6,4,4,3,3,3,3,3,3,4,3,,1,,5,3,3,1,2,1,5,4,4,1,1,4,3,4,4,2,4,4,4,1,1976,18,8,Civil Ingeniør,7,,1,,2,2,,1,1,,40,1,2,1,1,,6,6,1,1,,1,3,0,4,52000,,4,1,0,0,0,0.771554022672409
1,2,3,4,2,5,3,2,2,,,,,4,,,2,,2,,,,,3,1,6,2,2,2,2,1,2,2,1,1,2,2,20,4,3,5,3,3,3,4,5,4,8,8,8,8,2,2,4,2,1,4,4,3,3,3,3,4,3,3,,2,,2,2,2,3,4,3,2,4,1,1,1,8,4,4,1,3,3,4,1,1946,18,3,,11,Teknikumingeniør med lærlingeuddannelse,11,1,2,2,,1,11,1,,1,2,1,2,,6,5,1,6,,2,0,0,2,8888888888,8888888888,4,1,0,0,0,0.783379605640387
1,,,,,,3,3,1,1,2,2,5,1,1,1,1,1,2,3,3,3,3,3,1,12,3,4,8,1,2,2,2,2,4,25,21,,,,2,1,2,1,2,2,,2,2,3,3,2,3,6,5,4,4,2,3,3,3,2,3,2,,1,,5,4,1,1,4,1,5,5,5,5,4,4,5,4,4,4,5,2,2,2,1973,19,4,,7,,1,,1,2,,,1,,40,1,2,1,2,,6,3,1,6,,2,1,0,3,47000,47000,1,1,0,0,0,1.07113831122879
1,5,5,5,5,5,1,3,2,2,5,3,1,1,1,1,1,1,2,3,3,3,3,3,1,6,2,4,3,4,1,4,2,1,1,25,4,1,4,5,1,2,3,1,1,1,3,3,3,3,3,2,2,2,7,4,4,3,3,3,3,3,3,2,3,,3,,3,1,1,5,1,5,3,5,3,3,3,5,5,5,5,5,5,5,2,1966,12,8,EFG,11,EFG,1,,1,2,,,1,,28,1,2,1,2,,7,6,1,1,,2,0,0,2,28000,56000,4,1,0,0,0,0.736455455930648
1,4,4,5,1,5,3,2,2,2,4,4,5,5,2,3,2,3,2,3,3,3,3,3,2,,8,2,8,1,2,1,2,1,1,20,0,20,0,3,5,3,8,3,1,2,3,8,8,8,8,2,1,5,2,4,1,2,3,3,3,5,3,1,3,,3,,3,2,2,4,1,4,2,5,3,3,3,4,2,4,4,5,3,3,1,1951,19,3,,6,,11,1,2,1,6,1,11,1,,1,2,2,2,,8,3,1,1,,2,0,0,2,29000,46000,3,1,0,0,0,0.498692026806514
1,4,4,5,2,5,3,2,2,1,5,5,5,1,1,2,1,1,3,4,2,3,3,3,2,,1,2,6,2,1,2,2,3,5,8,15,,,,,,,,,,,3,3,3,3,2,5,7,3,4,1,3,3,3,3,3,3,2,3,,2,,4,5,1,4,4,5,4,5,2,2,3,5,5,5,4,5,5,5,2,1958,12,3,,3,,1,,1,2,,,,,,,,1,1,,8,6,1,9,,1,0,0,1,30000,,3,0,1,0,0,0.922982255746289
1,,,,,,3,2,2,1,,,,2,1,1,,,2,4,3,3,3,3,1,15,2,2,2,2,2,2,2,1,1,15,24,7,7,3,1,2,2,3,1,4,4,8,8,8,8,2,5,7,6,3,1,4,3,3,3,2,4,2,3,,3,,2,3,2,5,2,5,1,3,8,3,4,3,5,5,4,4,5,5,2,1947,12,3,,3,,11,1,1,2,,,11,1,,1,2,2,2,,6,10,2,,,2,0,0,2,8300,20000,3,1,0,0,0,0.958919363379423
1,5,4,4,3,5,3,2,2,2,4,3,5,1,1,2,1,2,2,3,3,3,3,3,1,12,2,2,3,2,2,2,8,88,6,7,0,,,,,,,,,,,1,3,8,3,3,6,6,4,4,4,2,3,3,3,2,4,3,3,,8,,8,4,1,4,3,5,8,8,8,8,8,8,5,5,2,5,3,8,2,1984,16,3,,6,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
